Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Hispanic or Latino and Race",Mexican,"12,808","(+/-3,694)","10,765","(+/-3,591)","13,418","(+/-3,613)","8,606","(+/-3,166)","10,152","(+/-4,252)","32,155","(+/-7,627)","32,812","(+/-6,362)","17,803","(+/-5,221)","20,171","(+/-5,883)","33,169","(+/-8,358)","36,757","(+/-5,990)","12,772","(+/-3,146)","46,741","(+/-9,472)","49,663","(+/-8,123)","36,125","(+/-8,677)","42,495","(+/-7,686)","5,599","(+/-2,345)","37,305","(+/-7,181)","6,932","(+/-2,265)","10,380","(+/-2,963)","4,756","(+/-1,199)","7,432","(+/-2,442)","4,946","(+/-1,901)","11,357","(+/-1,922)","6,372","(+/-1,644)","5,639","(+/-2,376)"
People,"Hispanic or Latino and Race","Puerto Rican","20,443","(+/-4,768)","36,626","(+/-6,512)","22,129","(+/-4,313)","21,921","(+/-4,653)","30,249","(+/-5,482)","22,676","(+/-5,030)","47,498","(+/-5,881)","37,729","(+/-6,238)","19,244","(+/-4,537)","36,843","(+/-6,239)","46,752","(+/-6,644)","18,011","(+/-5,488)","62,805","(+/-7,849)","104,117","(+/-11,329)","106,814","(+/-11,433)","45,822","(+/-7,112)","31,438","(+/-6,098)","48,734","(+/-7,190)","19,844","(+/-3,198)","21,699","(+/-2,941)","14,198","(+/-1,735)","20,902","(+/-3,004)","17,541","(+/-3,259)","14,130","(+/-2,188)","53,480","(+/-3,195)","33,156","(+/-3,974)"
People,"Hispanic or Latino and Race",Cuban,"3,362","(+/-1,473)","4,850","(+/-2,060)","4,049","(+/-1,243)","4,267","(+/-1,686)","2,011",(+/-888),"3,427","(+/-1,009)","6,791","(+/-2,967)","1,655",(+/-812),"2,518","(+/-1,463)","5,817","(+/-2,204)","5,040","(+/-3,487)","5,178","(+/-2,188)","3,504","(+/-1,419)","3,517","(+/-2,485)","3,120","(+/-1,855)","3,285","(+/-1,334)","6,781","(+/-2,037)","3,350","(+/-1,198)","2,984","(+/-1,025)","1,271",(+/-707),987,(+/-625),"4,708","(+/-1,883)",456,(+/-338),890,(+/-521),"2,544","(+/-1,210)","2,542","(+/-2,058)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","91,082","(+/-8,438)","175,087","(+/-11,327)","81,581","(+/-9,840)","125,931","(+/-9,744)","108,403","(+/-12,964)","128,691","(+/-12,116)","150,126","(+/-13,672)","70,392","(+/-8,901)","47,851","(+/-8,324)","65,935","(+/-8,651)","53,181","(+/-7,205)","55,602","(+/-7,538)","258,521","(+/-14,456)","224,803","(+/-19,241)","234,715","(+/-16,297)","132,308","(+/-9,332)","120,757","(+/-8,362)","71,452","(+/-6,275)","21,981","(+/-2,698)","20,387","(+/-3,188)","13,134","(+/-1,855)","13,630","(+/-2,932)","9,675","(+/-2,296)","9,786","(+/-2,063)","13,839","(+/-2,680)","12,461","(+/-2,309)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","647,557","(+/-11,812)","549,962","(+/-13,961)","639,514","(+/-16,363)","606,552","(+/-9,069)","587,098","(+/-15,407)","519,128","(+/-19,144)","483,225","(+/-20,110)","612,437","(+/-20,199)","635,270","(+/-20,536)","577,316","(+/-21,239)","611,550","(+/-11,772)","643,433","(+/-14,828)","354,473","(+/-16,012)","358,463","(+/-17,682)","333,994","(+/-14,630)","541,150","(+/-9,231)","608,049","(+/-7,922)","623,511","(+/-5,181)","717,720","(+/-5,578)","729,809","(+/-2,805)","734,120","(+/-4,436)","716,327",(+/-621),"731,717","(+/-6,520)","731,588","(+/-5,327)","690,161","(+/-1,480)","714,946","(+/-7,726)"
People,"Place of Birth","Total population","775,252","(+/-10,561)","777,290","(+/-12,905)","760,691","(+/-17,611)","767,277","(+/-6,128)","737,913","(+/-18,724)","706,077","(+/-23,906)","720,452","(+/-22,209)","740,016","(+/-23,945)","725,054","(+/-22,296)","719,080","(+/-22,752)","753,280","(+/-13,354)","734,996","(+/-16,880)","726,044","(+/-19,973)","740,563","(+/-26,175)","714,768","(+/-20,214)","765,060","(+/-9,506)","772,624","(+/-5,812)","784,352","(+/-5,307)","769,461","(+/-5,366)","783,546","(+/-2,815)","767,195","(+/-4,571)","762,999",(+/-621),"764,335","(+/-6,063)","767,751","(+/-5,074)","766,396","(+/-1,597)","768,744","(+/-7,395)"
People,"Place of Birth",Native,"666,850","(+/-11,375)","621,452","(+/-14,798)","550,663","(+/-13,255)","591,408","(+/-9,822)","407,911","(+/-13,539)","318,194","(+/-16,102)","463,988","(+/-17,325)","457,187","(+/-20,503)","448,752","(+/-19,705)","516,649","(+/-20,545)","505,489","(+/-12,132)","541,293","(+/-17,649)","462,318","(+/-14,034)","443,224","(+/-16,775)","456,262","(+/-16,675)","531,048","(+/-11,912)","626,895","(+/-9,513)","670,832","(+/-9,845)","718,115","(+/-6,180)","710,269","(+/-5,450)","740,882","(+/-5,552)","704,471","(+/-6,804)","741,994","(+/-6,278)","744,287","(+/-5,952)","709,793","(+/-4,583)","702,994","(+/-8,908)"
People,"Place of Birth","Born in United States","658,386","(+/-10,697)","605,690","(+/-13,564)","538,870","(+/-13,220)","578,359","(+/-10,183)","392,488","(+/-13,832)","300,548","(+/-15,526)","437,887","(+/-16,628)","437,219","(+/-19,362)","428,037","(+/-18,940)","494,973","(+/-19,751)","486,465","(+/-12,210)","524,654","(+/-17,273)","432,038","(+/-13,798)","405,827","(+/-16,413)","402,456","(+/-16,502)","506,426","(+/-10,996)","608,897","(+/-9,159)","653,919","(+/-9,772)","707,727","(+/-6,432)","698,164","(+/-5,890)","731,644","(+/-5,908)","693,663","(+/-6,969)","733,326","(+/-6,310)","737,371","(+/-6,086)","690,412","(+/-5,251)","689,810","(+/-8,615)"
People,"Place of Birth","State of residence","590,164","(+/-10,894)","566,433","(+/-13,539)","496,470","(+/-12,937)","539,366","(+/-10,451)","354,516","(+/-14,072)","272,941","(+/-14,649)","302,662","(+/-16,102)","377,790","(+/-17,156)","347,536","(+/-18,238)","310,018","(+/-17,493)","448,399","(+/-11,300)","309,373","(+/-13,476)","320,900","(+/-13,955)","354,620","(+/-14,445)","358,287","(+/-16,263)","414,474","(+/-9,962)","506,751","(+/-10,378)","528,778","(+/-10,571)","562,990","(+/-7,800)","578,628","(+/-8,107)","588,397","(+/-7,621)","584,948","(+/-7,848)","620,231","(+/-8,276)","633,747","(+/-7,426)","573,110","(+/-7,919)","604,713","(+/-10,039)"
People,"Place of Birth","Different state","68,222","(+/-5,332)","39,257","(+/-4,923)","42,400","(+/-3,989)","38,993","(+/-4,174)","37,972","(+/-3,167)","27,607","(+/-3,892)","135,225","(+/-7,738)","59,429","(+/-5,195)","80,501","(+/-6,482)","184,955","(+/-10,731)","38,066","(+/-4,002)","215,281","(+/-11,498)","111,138","(+/-7,816)","51,207","(+/-6,377)","44,169","(+/-5,243)","91,952","(+/-6,099)","102,146","(+/-5,364)","125,141","(+/-6,719)","144,737","(+/-6,610)","119,536","(+/-6,121)","143,247","(+/-6,235)","108,715","(+/-5,111)","113,095","(+/-5,579)","103,624","(+/-5,426)","117,302","(+/-6,750)","85,097","(+/-6,388)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,464","(+/-2,248)","15,762","(+/-3,710)","11,793","(+/-2,282)","13,049","(+/-2,510)","15,423","(+/-2,714)","17,646","(+/-3,057)","26,101","(+/-3,127)","19,968","(+/-3,445)","20,715","(+/-3,488)","21,676","(+/-3,208)","19,024","(+/-3,089)","16,639","(+/-3,134)","30,280","(+/-4,475)","37,397","(+/-5,230)","53,806","(+/-6,866)","24,622","(+/-4,049)","17,998","(+/-3,360)","16,913","(+/-2,669)","10,388","(+/-1,880)","12,105","(+/-1,923)","9,238","(+/-1,551)","10,808","(+/-2,000)","8,668","(+/-1,923)","6,916","(+/-1,341)","19,381","(+/-2,638)","13,184","(+/-2,643)"
People,"Place of Birth","Foreign born","108,402","(+/-7,403)","155,838","(+/-9,415)","210,028","(+/-11,293)","175,869","(+/-8,405)","330,002","(+/-12,319)","387,883","(+/-15,798)","256,464","(+/-13,053)","282,829","(+/-11,810)","276,302","(+/-12,450)","202,431","(+/-10,256)","247,791","(+/-10,118)","193,703","(+/-12,543)","263,726","(+/-13,840)","297,339","(+/-16,026)","258,506","(+/-13,241)","234,012","(+/-9,973)","145,729","(+/-7,096)","113,520","(+/-8,394)","51,346","(+/-3,805)","73,277","(+/-5,161)","26,313","(+/-2,807)","58,528","(+/-6,675)","22,341","(+/-2,982)","23,464","(+/-2,956)","56,603","(+/-4,467)","65,750","(+/-5,518)"
People,Ancestry,"Total population","775,252","(+/-10,561)","777,290","(+/-12,905)","760,691","(+/-17,611)","767,277","(+/-6,128)","737,913","(+/-18,724)","706,077","(+/-23,906)","720,452","(+/-22,209)","740,016","(+/-23,945)","725,054","(+/-22,296)","719,080","(+/-22,752)","753,280","(+/-13,354)","734,996","(+/-16,880)","726,044","(+/-19,973)","740,563","(+/-26,175)","714,768","(+/-20,214)","765,060","(+/-9,506)","772,624","(+/-5,812)","784,352","(+/-5,307)","769,461","(+/-5,366)","783,546","(+/-2,815)","767,195","(+/-4,571)","762,999",(+/-621),"764,335","(+/-6,063)","767,751","(+/-5,074)","766,396","(+/-1,597)","768,744","(+/-7,395)"
People,Ancestry,American,"36,530","(+/-5,223)","18,129","(+/-3,049)","31,093","(+/-4,405)","27,859","(+/-4,916)","35,040","(+/-5,498)","13,749","(+/-2,870)","20,996","(+/-4,610)","35,179","(+/-5,520)","30,998","(+/-6,088)","19,942","(+/-4,916)","35,281","(+/-6,859)","44,435","(+/-7,847)","26,141","(+/-6,472)","19,166","(+/-3,450)","22,200","(+/-5,040)","29,609","(+/-5,279)","49,599","(+/-6,353)","41,787","(+/-4,770)","35,767","(+/-3,861)","35,829","(+/-4,468)","53,194","(+/-5,570)","27,878","(+/-4,028)","39,284","(+/-4,290)","37,993","(+/-4,229)","32,615","(+/-5,146)","20,734","(+/-3,935)"
People,Ancestry,Arab,"3,878","(+/-1,623)","2,281","(+/-1,179)","4,501","(+/-1,672)","2,971","(+/-1,119)","2,741","(+/-1,495)","10,629","(+/-5,776)","12,088","(+/-3,556)","12,797","(+/-5,982)","8,200","(+/-2,478)","12,352","(+/-3,775)","33,823","(+/-7,054)","12,897","(+/-3,881)","3,751","(+/-1,601)","11,578","(+/-4,245)","7,750","(+/-4,175)","8,571","(+/-2,523)","3,390","(+/-1,187)","6,671","(+/-2,338)","3,861","(+/-1,542)","6,770","(+/-2,673)","2,766","(+/-1,042)","9,489","(+/-2,236)","5,828","(+/-2,219)","1,784",(+/-651),"2,558","(+/-1,045)","10,114","(+/-3,885)"
People,Ancestry,Czech,"2,700","(+/-1,230)","2,637",(+/-967),"1,920",(+/-811),"1,159",(+/-729),196,(+/-129),639,(+/-346),"2,228",(+/-887),585,(+/-453),566,(+/-435),"1,458",(+/-709),335,(+/-261),"4,316","(+/-1,811)",558,(+/-400),707,(+/-578),75,(+/-83),"1,232",(+/-526),"2,504",(+/-987),"2,330",(+/-991),"3,367","(+/-1,042)","2,635","(+/-1,199)","2,376",(+/-790),785,(+/-573),"1,840",(+/-583),"1,250",(+/-638),"1,514",(+/-738),"1,303",(+/-812)
People,Ancestry,Danish,"1,708",(+/-739),856,(+/-407),717,(+/-477),556,(+/-359),29,(+/-47),432,(+/-471),912,(+/-428),60,(+/-51),873,(+/-799),"1,579",(+/-765),396,(+/-357),"1,424","(+/-1,068)",609,(+/-569),0,(+/-218),0,(+/-218),"1,053",(+/-674),"1,046",(+/-556),981,(+/-511),"1,760",(+/-623),"1,364",(+/-564),"1,760",(+/-693),"1,583",(+/-602),"1,067",(+/-485),"2,461",(+/-811),"1,300",(+/-580),"1,073",(+/-640)
People,Ancestry,Dutch,"4,120","(+/-2,012)","3,533","(+/-1,126)","1,310",(+/-604),"1,170",(+/-704),477,(+/-386),"1,743","(+/-1,190)","3,494","(+/-1,254)",788,(+/-606),"2,133",(+/-934),"5,108","(+/-1,371)",543,(+/-292),"4,255","(+/-1,641)","1,963","(+/-1,018)",311,(+/-269),684,(+/-507),"1,681",(+/-706),"4,484","(+/-1,649)","10,164","(+/-2,019)","18,710","(+/-2,507)","13,502","(+/-2,213)","16,901","(+/-2,107)","8,020","(+/-1,458)","10,121","(+/-2,048)","20,743","(+/-2,890)","12,646","(+/-2,280)","5,165","(+/-1,889)"
People,Ancestry,English,"39,737","(+/-4,158)","23,619","(+/-3,579)","20,465","(+/-3,479)","15,540","(+/-2,851)","4,010","(+/-1,751)","6,730","(+/-2,528)","26,044","(+/-4,350)","7,596","(+/-1,553)","9,418","(+/-2,120)","44,928","(+/-5,237)","7,519","(+/-1,880)","46,222","(+/-5,556)","12,563","(+/-2,414)","6,003","(+/-1,658)","3,480","(+/-1,446)","20,281","(+/-3,543)","29,598","(+/-3,159)","45,416","(+/-3,986)","92,547","(+/-5,200)","75,525","(+/-5,871)","98,028","(+/-5,599)","91,460","(+/-6,062)","87,032","(+/-4,489)","114,064","(+/-6,398)","77,780","(+/-4,991)","51,993","(+/-5,265)"
People,Ancestry,"French (except Basque)","9,230","(+/-2,049)","5,968","(+/-1,636)","4,910","(+/-1,344)","3,883","(+/-1,366)","1,312",(+/-817),"2,619",(+/-920),"10,305","(+/-3,137)","3,882","(+/-1,495)","3,611","(+/-1,127)","10,386","(+/-1,933)","3,060","(+/-1,739)","19,945","(+/-4,572)","8,646","(+/-3,324)","2,978","(+/-1,033)","1,627",(+/-940),"4,788","(+/-1,392)","8,518","(+/-2,064)","13,198","(+/-2,677)","18,302","(+/-3,652)","33,416","(+/-3,965)","55,070","(+/-4,259)","26,129","(+/-3,127)","12,925","(+/-2,066)","23,891","(+/-3,050)","12,526","(+/-1,583)","12,132","(+/-2,961)"
People,Ancestry,"French Canadian","2,419",(+/-964),822,(+/-458),592,(+/-465),290,(+/-292),113,(+/-135),654,(+/-580),"1,019",(+/-799),285,(+/-199),729,(+/-475),"3,325","(+/-1,358)",601,(+/-762),"1,222",(+/-603),429,(+/-345),533,(+/-752),31,(+/-53),945,(+/-412),"1,916",(+/-731),"3,569","(+/-1,110)","4,732","(+/-1,080)","11,497","(+/-2,322)","23,529","(+/-2,944)","8,535","(+/-1,628)","3,506",(+/-968),"8,449","(+/-1,530)","3,825","(+/-1,009)","3,675","(+/-1,427)"
People,Ancestry,German,"94,965","(+/-7,571)","82,500","(+/-6,235)","49,589","(+/-4,820)","51,976","(+/-5,317)","8,227","(+/-2,000)","15,530","(+/-2,419)","33,834","(+/-3,253)","7,749","(+/-1,513)","14,673","(+/-3,755)","41,039","(+/-4,964)","21,395","(+/-3,836)","58,860","(+/-5,691)","16,935","(+/-2,936)","13,725","(+/-3,239)","4,671","(+/-1,350)","32,236","(+/-4,011)","61,075","(+/-5,739)","83,402","(+/-6,047)","112,498","(+/-5,741)","95,144","(+/-5,942)","105,556","(+/-6,266)","102,917","(+/-5,960)","163,054","(+/-7,300)","146,016","(+/-6,538)","122,765","(+/-6,772)","137,152","(+/-6,514)"
People,Ancestry,Greek,"10,405","(+/-2,795)","9,190","(+/-3,421)","16,102","(+/-3,690)","9,960","(+/-2,974)","2,008","(+/-1,072)","6,268","(+/-1,746)","4,570","(+/-1,536)","1,162",(+/-653),"1,184",(+/-699),"7,543","(+/-2,858)","8,889","(+/-2,031)","6,743","(+/-3,218)","2,918","(+/-1,429)","14,014","(+/-3,147)",635,(+/-461),"4,954","(+/-1,664)","5,874","(+/-2,094)","5,531","(+/-1,931)","4,059","(+/-1,390)","5,071","(+/-1,610)","2,784",(+/-863),"2,923","(+/-1,003)","1,407",(+/-730),"2,288",(+/-966),"3,995","(+/-1,329)","2,124",(+/-767)
People,Ancestry,Hungarian,"3,776",(+/-935),"2,138",(+/-948),"4,437","(+/-1,613)","5,509","(+/-2,153)",713,(+/-483),"3,505","(+/-1,650)","4,725","(+/-1,503)","1,370",(+/-876),"4,804","(+/-1,625)","5,487","(+/-1,574)","1,866",(+/-921),"8,536","(+/-2,853)","1,280",(+/-776),810,(+/-441),722,(+/-479),"3,520","(+/-1,250)","29,825","(+/-6,625)","35,189","(+/-7,484)","5,453","(+/-1,550)","3,840","(+/-1,226)","2,913",(+/-872),"2,067",(+/-843),"4,154","(+/-1,373)","2,683","(+/-1,200)","2,361",(+/-909),"4,708","(+/-1,251)"
People,Ancestry,Irish,"140,654","(+/-8,845)","114,055","(+/-8,016)","80,307","(+/-6,147)","87,145","(+/-7,820)","18,192","(+/-3,361)","23,077","(+/-3,531)","41,315","(+/-4,812)","13,718","(+/-2,657)","17,331","(+/-4,612)","56,996","(+/-5,163)","53,639","(+/-6,133)","73,048","(+/-7,148)","18,448","(+/-3,163)","22,146","(+/-3,740)","12,478","(+/-2,757)","62,248","(+/-5,602)","107,303","(+/-9,564)","114,707","(+/-7,774)","117,754","(+/-7,432)","140,582","(+/-8,363)","131,887","(+/-6,199)","131,539","(+/-7,574)","123,875","(+/-6,194)","125,441","(+/-6,546)","115,103","(+/-6,818)","98,160","(+/-6,348)"
People,Ancestry,Italian,"170,437","(+/-8,978)","146,870","(+/-9,032)","123,181","(+/-8,863)","117,398","(+/-8,953)","22,317","(+/-4,070)","28,821","(+/-3,370)","39,298","(+/-4,937)","21,057","(+/-3,269)","15,361","(+/-2,653)","50,134","(+/-5,628)","134,334","(+/-9,207)","57,224","(+/-6,768)","16,635","(+/-2,847)","35,813","(+/-4,470)","14,074","(+/-2,741)","86,865","(+/-6,021)","113,877","(+/-7,573)","115,106","(+/-7,769)","88,361","(+/-6,686)","116,516","(+/-6,513)","76,874","(+/-5,675)","114,267","(+/-6,455)","90,204","(+/-6,327)","95,823","(+/-5,795)","121,672","(+/-7,708)","103,501","(+/-6,591)"
People,Ancestry,Lithuanian,"1,911",(+/-745),"1,870","(+/-1,018)","1,515",(+/-654),610,(+/-320),"1,275",(+/-997),901,(+/-573),"1,635",(+/-828),"1,261","(+/-1,164)","2,080","(+/-1,431)","1,520",(+/-942),983,(+/-679),"2,475","(+/-1,274)",618,(+/-510),324,(+/-419),53,(+/-72),463,(+/-227),"2,442","(+/-1,751)","1,432",(+/-713),"2,715",(+/-792),"2,323",(+/-788),"2,910",(+/-782),"2,404",(+/-958),566,(+/-370),722,(+/-325),"2,291",(+/-985),"1,382","(+/-1,108)"
People,Ancestry,Norwegian,"4,977","(+/-1,465)","2,840","(+/-1,069)","1,642",(+/-613),"2,862","(+/-1,013)",376,(+/-290),942,(+/-848),"2,243",(+/-752),817,(+/-322),678,(+/-413),"4,499","(+/-1,820)","4,193","(+/-1,482)","3,679","(+/-1,590)","1,373",(+/-692),795,(+/-564),60,(+/-85),"2,106","(+/-1,029)","4,038","(+/-1,594)","4,790","(+/-1,458)","4,677","(+/-1,158)","4,317","(+/-1,476)","4,748","(+/-1,614)","3,496","(+/-1,325)","4,106","(+/-1,481)","4,422","(+/-1,030)","2,788","(+/-1,131)","2,733","(+/-1,010)"
People,Ancestry,Polish,"37,696","(+/-4,454)","24,290","(+/-3,943)","25,152","(+/-4,225)","25,881","(+/-3,973)","6,260","(+/-2,246)","17,292","(+/-3,927)","28,373","(+/-5,882)","6,765","(+/-2,081)","10,480","(+/-2,129)","23,248","(+/-3,411)","18,180","(+/-3,807)","34,898","(+/-5,242)","8,503","(+/-2,968)","5,190","(+/-1,891)","2,950","(+/-1,223)","15,842","(+/-2,353)","26,506","(+/-3,926)","23,716","(+/-3,031)","33,830","(+/-3,969)","44,585","(+/-3,558)","31,700","(+/-3,521)","46,606","(+/-4,314)","82,200","(+/-6,230)","41,212","(+/-3,501)","33,126","(+/-3,289)","86,314","(+/-6,102)"
People,Ancestry,Portuguese,"3,579","(+/-1,236)","3,426","(+/-1,656)","6,106","(+/-2,507)","2,416","(+/-1,709)","1,260",(+/-714),"1,100",(+/-559),"3,257","(+/-1,615)",394,(+/-278),462,(+/-294),"2,382","(+/-1,035)","2,237","(+/-1,887)","2,523","(+/-1,184)","1,813","(+/-1,011)","1,377",(+/-753),578,(+/-478),"4,900","(+/-1,716)","4,834","(+/-1,680)","2,503","(+/-1,165)","1,956",(+/-807),"2,095","(+/-1,459)","1,451",(+/-748),"1,461",(+/-860),639,(+/-416),846,(+/-345),"1,790",(+/-784),476,(+/-395)
People,Ancestry,Russian,"17,565","(+/-3,127)","8,548","(+/-2,651)","16,702","(+/-2,663)","17,588","(+/-4,611)","4,928","(+/-1,874)","16,438","(+/-4,908)","6,172","(+/-1,614)","23,765","(+/-7,096)","13,511","(+/-2,687)","16,854","(+/-3,261)","13,152","(+/-2,696)","30,546","(+/-3,801)","5,363","(+/-1,318)","3,100","(+/-2,273)","5,440","(+/-2,614)","11,975","(+/-2,409)","16,550","(+/-3,003)","11,194","(+/-2,680)","7,930","(+/-1,720)","8,030","(+/-2,282)","3,419",(+/-876),"4,691","(+/-1,355)","2,831",(+/-752),"2,223",(+/-741),"4,643","(+/-1,161)","5,546","(+/-1,924)"
People,Ancestry,Scotch-Irish,"3,037","(+/-1,457)","1,444",(+/-816),"2,320","(+/-1,706)",565,(+/-430),229,(+/-286),428,(+/-490),"2,318","(+/-1,128)",604,(+/-517),989,(+/-550),"2,723","(+/-1,139)",404,(+/-309),"3,938","(+/-1,740)","1,046",(+/-535),601,(+/-675),226,(+/-316),426,(+/-279),"2,025",(+/-772),"3,743","(+/-1,188)","5,351","(+/-1,667)","4,361","(+/-1,020)","6,122","(+/-1,390)","3,236","(+/-1,053)","3,415",(+/-685),"6,179","(+/-1,284)","3,544","(+/-1,142)","2,698",(+/-839)
People,Ancestry,Scottish,"7,400","(+/-1,708)","4,738","(+/-1,611)","4,253","(+/-1,793)","3,679","(+/-1,323)",602,(+/-435),"1,085",(+/-672),"5,936","(+/-1,632)",974,(+/-431),"4,319","(+/-1,642)","7,544","(+/-1,534)","1,916",(+/-821),"8,354","(+/-2,120)","2,419",(+/-971),"2,474","(+/-1,370)",752,(+/-489),"6,327","(+/-2,154)","4,773","(+/-1,066)","8,941","(+/-1,861)","13,859","(+/-2,217)","12,592","(+/-1,937)","18,213","(+/-2,403)","12,060","(+/-1,879)","13,158","(+/-2,005)","13,409","(+/-1,723)","11,129","(+/-1,909)","12,959","(+/-2,975)"
People,Ancestry,Slovak,"1,366",(+/-657),360,(+/-325),432,(+/-246),381,(+/-335),56,(+/-93),"1,043","(+/-1,164)","1,406","(+/-1,165)",53,(+/-87),359,(+/-462),"1,307","(+/-1,066)","1,196",(+/-610),"1,576","(+/-1,148)",548,(+/-791),336,(+/-332),94,(+/-130),"1,969","(+/-1,303)","2,508","(+/-1,155)",467,(+/-269),"4,591","(+/-1,215)","2,186",(+/-821),"1,313",(+/-571),"1,569",(+/-989),"1,159",(+/-502),374,(+/-197),631,(+/-383),"1,402",(+/-809)
People,Ancestry,"Subsaharan African","4,788","(+/-2,102)","4,869","(+/-1,900)","2,950","(+/-1,821)","7,889","(+/-2,849)","16,325","(+/-3,453)","3,052","(+/-1,453)","6,399","(+/-1,790)","26,167","(+/-8,165)","23,642","(+/-5,529)","4,953","(+/-2,053)","7,409","(+/-2,812)","9,323","(+/-3,556)","24,507","(+/-6,630)","17,420","(+/-5,167)","54,530","(+/-11,532)","13,590","(+/-3,464)","4,655","(+/-1,881)","6,251","(+/-2,926)","2,414",(+/-988),"8,972","(+/-3,049)","1,266",(+/-645),"5,700","(+/-2,416)","3,172","(+/-1,377)","1,422",(+/-671),"10,689","(+/-2,982)","11,798","(+/-3,432)"
People,Ancestry,Swedish,"3,663",(+/-959),"2,397",(+/-801),"2,558",(+/-861),"1,160",(+/-764),216,(+/-198),765,(+/-637),"2,172",(+/-828),602,(+/-337),"1,525",(+/-777),"6,002","(+/-1,849)","2,146","(+/-1,080)","3,768","(+/-1,221)","1,918",(+/-929),701,(+/-391),296,(+/-183),"1,997",(+/-796),"3,945","(+/-1,418)","4,311",(+/-941),"5,487","(+/-1,308)","4,537","(+/-1,232)","5,549","(+/-1,302)","3,783",(+/-958),"15,998","(+/-2,322)","5,377","(+/-1,385)","4,897","(+/-1,637)","4,543","(+/-1,068)"
People,Ancestry,Swiss,"1,228",(+/-726),473,(+/-336),523,(+/-391),198,(+/-187),4,(+/-1),359,(+/-232),765,(+/-440),360,(+/-312),761,(+/-655),"1,574",(+/-558),248,(+/-253),"2,867","(+/-1,258)",621,(+/-420),791,(+/-561),27,(+/-44),776,(+/-513),626,(+/-394),"1,029",(+/-436),"2,318",(+/-993),"1,278","(+/-1,110)","2,491","(+/-1,056)","1,855",(+/-522),753,(+/-388),"4,030","(+/-1,052)","1,670",(+/-849),412,(+/-288)
People,Ancestry,Ukrainian,"5,758","(+/-1,734)","1,498",(+/-579),"4,947","(+/-1,786)","4,615","(+/-1,701)","2,339","(+/-1,044)","3,684","(+/-1,056)","4,995","(+/-1,665)","23,511","(+/-4,204)","10,940","(+/-2,447)","9,644","(+/-2,338)","12,947","(+/-3,529)","10,627","(+/-3,735)","1,843",(+/-804),"1,268",(+/-715),"1,085",(+/-646),"5,758","(+/-2,415)","5,064","(+/-1,564)","6,872","(+/-1,738)","6,024","(+/-1,566)","5,447","(+/-1,579)","3,959","(+/-1,333)","7,118","(+/-1,451)","6,233","(+/-1,851)","5,570","(+/-1,354)","9,326","(+/-2,122)","4,541","(+/-1,004)"
People,Ancestry,Welsh,"1,552",(+/-699),912,(+/-666),828,(+/-574),446,(+/-257),227,(+/-353),338,(+/-282),919,(+/-437),461,(+/-378),320,(+/-260),"2,426",(+/-891),52,(+/-90),"2,870","(+/-1,480)","1,424",(+/-762),447,(+/-354),99,(+/-210),954,(+/-461),"1,645",(+/-694),"2,599","(+/-1,008)","6,908","(+/-1,169)","3,362",(+/-825),"8,258","(+/-1,500)","8,968","(+/-1,652)","4,422",(+/-970),"4,608",(+/-991),"4,654","(+/-1,214)","4,129","(+/-1,258)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","8,697","(+/-3,650)","24,641","(+/-5,227)","10,518","(+/-3,065)","50,232","(+/-6,127)","129,180","(+/-9,701)","10,769","(+/-3,366)","19,875","(+/-5,902)","86,562","(+/-8,684)","132,583","(+/-11,189)","9,515","(+/-3,417)","10,273","(+/-3,244)","12,816","(+/-3,585)","22,505","(+/-5,096)","25,038","(+/-5,032)","42,489","(+/-6,529)","51,951","(+/-7,670)","23,676","(+/-3,822)","25,071","(+/-4,399)","5,003","(+/-2,017)","10,546","(+/-2,530)","2,769","(+/-1,000)","4,523","(+/-1,605)","1,163",(+/-657),"1,628",(+/-643),"8,288","(+/-2,006)","4,930","(+/-3,147)"
